subset,token_count,split
tsn_Latn,275980182,"fineweb2,madlad400,extraData"
gaz_Latn,279089097,"wura_documentLevel,fineweb2,madlad400"
aeb_Arab,273305902,fineweb2
tir_Ethi,284461048,"wura_documentLevel,fineweb2,madlad400"
sot_Latn,320280127,"fineweb2,madlad400"
nya_Latn,320280127,"wura_documentLevel,fineweb2"
yor_Latn,320280127,"wura_documentLevel,fineweb2,madlad400"
sna_Latn,320280127,"wura_documentLevel,fineweb2,madlad400"
xho_Latn,320280127,"wura_documentLevel,fineweb2,madlad400"
plt_Latn,320280127,fineweb2
ibo_Latn,320280127,"wura_documentLevel,fineweb2,madlad400"
zul_Latn,320280128,"wura_documentLevel,fineweb2,madlad400"
kin_Latn,320280128,"wura_documentLevel,fineweb2,madlad400"
hau_Latn,320280128,"wura_documentLevel,madlad400"
arz_Arab,320280128,"wura_documentLevel,fineweb2"
amh_Ethi,320280128,"wura_documentLevel,fineweb2,madlad400"
arb_Arab,320280128,fineweb2
eng_Latn,320280128,"finewebEdu,wura_documentLevel"
por_Latn,320280128,"wura_documentLevel,fineweb2"
fra_Latn,320280128,"wura_documentLevel,fineweb2"
som_Latn,320280128,"wura_documentLevel,fineweb2,madlad400"
swh_Latn,320280128,"wura_documentLevel,fineweb2,madlad400"
ary_Arab,320280128,fineweb2
afr_Latn,320280128,"wura_documentLevel,fineweb2,madlad400"
